step,signal
754,1.93105e+94
755,1.93176e+94
756,1.93252e+94
757,1.93333e+94
758,1.93419e+94
759,1.93511e+94
760,1.9361e+94
761,1.93714e+94
762,1.93825e+94
763,1.93942e+94
764,1.94065e+94
765,1.94193e+94
766,1.94326e+94
767,1.94464e+94
768,1.94606e+94
769,1.9475e+94
770,1.94897e+94
771,1.95046e+94
772,1.95195e+94
773,1.95343e+94
774,1.95491e+94
775,1.95636e+94
776,1.95779e+94
777,1.95919e+94
778,1.96054e+94
779,1.96185e+94
780,1.96311e+94
781,1.96432e+94
782,1.96547e+94
783,1.96657e+94
784,1.96762e+94
785,1.96862e+94
786,1.96956e+94
787,1.97046e+94
788,1.97132e+94
789,1.97213e+94
790,1.97291e+94
791,1.97365e+94
792,1.97437e+94
793,1.97507e+94
794,1.97574e+94
795,1.9764e+94
796,1.97705e+94
797,1.97768e+94
798,1.97831e+94
799,1.97894e+94
800,1.97957e+94
801,1.98019e+94
802,1.98082e+94
803,1.98144e+94
804,1.98207e+94
805,1.9827e+94
806,1.98333e+94
807,1.98397e+94
808,1.9846e+94
809,1.98524e+94
810,1.98588e+94
811,1.98652e+94
812,1.98716e+94
813,1.9878e+94
814,1.98844e+94
815,1.98907e+94
816,1.98971e+94
817,1.99035e+94
818,1.99098e+94
819,1.9916e+94
820,1.99223e+94
821,1.99285e+94
822,1.99346e+94
823,1.99407e+94
824,1.99467e+94
825,1.99527e+94
826,1.99585e+94
827,1.99642e+94
828,1.99699e+94
829,1.99754e+94
830,1.99808e+94
831,1.99861e+94
832,1.99912e+94
833,1.99961e+94
834,2.00009e+94
835,2.00055e+94
836,2.001e+94
837,2.00142e+94
838,2.00183e+94
839,2.00221e+94
840,2.00258e+94
841,2.00293e+94
842,2.00326e+94
843,2.00357e+94
844,2.00386e+94
845,2.00413e+94
846,2.00438e+94
847,2.00462e+94
848,2.00484e+94
849,2.00505e+94
850,2.00524e+94
851,2.00542e+94
852,2.00558e+94
853,2.00574e+94
854,2.00588e+94
855,2.00601e+94
856,2.00614e+94
857,2.00626e+94
858,2.00638e+94
859,2.00649e+94
860,2.0066e+94
861,2.0067e+94
862,2.00681e+94
863,2.00691e+94
864,2.00702e+94
865,2.00712e+94
866,2.00723e+94
867,2.00735e+94
868,2.00746e+94
869,2.00758e+94
870,2.0077e+94
871,2.00783e+94
872,2.00796e+94
873,2.0081e+94
874,2.00824e+94
875,2.00839e+94
876,2.00854e+94
877,2.0087e+94
878,2.00886e+94
879,2.00902e+94
880,2.0092e+94
881,2.00937e+94
882,2.00955e+94
883,2.00973e+94
884,2.00992e+94
885,2.01011e+94
886,2.0103e+94
887,2.01049e+94
888,2.01069e+94
889,2.01089e+94
890,2.01109e+94
891,2.01129e+94
892,2.0115e+94
893,2.0117e+94
894,2.01191e+94
895,2.01212e+94
896,2.01232e+94
897,2.01253e+94
898,2.01274e+94
899,2.01295e+94
900,2.01316e+94
901,2.01337e+94
902,2.01358e+94
903,2.01379e+94
904,2.014e+94
905,2.01421e+94
906,2.01442e+94
907,2.01464e+94
908,2.01485e+94
909,2.01506e+94
910,2.01527e+94
911,2.01549e+94
912,2.0157e+94
913,2.01592e+94
914,2.01614e+94
915,2.01636e+94
916,2.01659e+94
917,2.01681e+94
918,2.01704e+94
919,2.01728e+94
920,2.01751e+94
921,2.01775e+94
922,2.018e+94
